name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Esper Sentinel",1,"Artifact Creature - Human Soldier",W,"mh2","12",rare,w,Not Owned,,false,,,"","",90393
"Giver of Runes",1,"Creature - Kor Cleric",W,"mh1","13",rare,w,Not Owned,,false,,,"","",72398
"Kytheon, Hero of Akros",1,"Legendary Creature - Human Soldier",W,"ori","23",mythic,w,Not Owned,,false,,,"","",57876
"Mother of Runes",1,"Creature - Human Cleric",W,"ulg","14",uncommon,w,Not Owned,,false,,,"","",12553
"Ocelot Pride",1,"Creature - Cat",W,"mh3","38",mythic,w,Not Owned,,false,,,"","",126093
"Thraben Inspector",1,"Creature - Human Soldier",W,"soi","44",common,w,Not Owned,,false,,,"","",60240
"Adanto Vanguard",2,"Creature - Vampire Soldier",W,"xln","1",uncommon,w,Not Owned,,false,,,"","",65012
"Containment Priest",2,"Creature - Human Cleric",W,"c14","5",rare,w,Not Owned,,false,,,"","",55177
"Doorkeeper Thrull",2,"Creature - Thrull",W,"mkm","13",rare,w,Not Owned,,false,,,"","",121514
"Ethersworn Canonist",2,"Artifact Creature - Human Cleric",W,"ala","10",rare,w,Not Owned,,false,,,"","",30999
"Hushbringer",2,"Creature - Faerie",W,"eld","18",rare,w,Owned,Non-foil,false,,,"","",78128
"Lion Sash",2,"Artifact Creature - Equipment Cat",W,"neo","26",rare,w,Not Owned,,false,,,"","",96962
"Luminarch Aspirant",2,"Creature - Human Cleric",W,"znr","24",rare,w,Not Owned,,false,,,"","",82987
"Phelia, Exuberant Shepherd",2,"Legendary Creature - Dog",W,"mh3","40",rare,w,Not Owned,,false,,,"","",126097
"Samwise the Stouthearted",2,"Legendary Creature - Halfling Peasant",W,"ltr","28",uncommon,w,Not Owned,,false,,,"","",111966
"Stoneforge Mystic",2,"Creature - Kor Artificer",W,"wwk","20",rare,w,Not Owned,,false,,,"","",35737
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"dka","24",rare,w,Not Owned,,false,,,"","",43469
"Adeline, Resplendent Cathar",3,"Legendary Creature - Human Knight",W,"mid","1",rare,w,Not Owned,,false,,,"","",92916
"Archon of Emeria",3,"Creature - Archon",W,"znr","4",rare,w,Not Owned,,false,,,"","",82943
"Brimaz, King of Oreskos",3,"Legendary Creature - Cat Soldier",W,"bng","5",mythic,w,Not Owned,,false,,,"","",51739
"Heliod, Sun-Crowned",3,"Legendary Enchantment Creature - God",W,"thb","18",mythic,w,Not Owned,,false,,,"","",79160
"Loran of the Third Path",3,"Legendary Creature - Human Artificer",W,"bro","12",rare,w,Not Owned,,false,,,"","",104642
"Monastery Mentor",3,"Creature - Human Monk",W,"frf","20",mythic,w,Not Owned,,false,,,"","",55410
"Ranger-Captain of Eos",3,"Creature - Human Soldier Ranger",W,"mh1","21",mythic,w,Not Owned,,false,,,"","",72414
"White Plume Adventurer",3,"Creature - Orc Cleric",W,"clb","49",rare,w,Not Owned,,false,,,"","",100096
"Academy Rector",4,"Creature - Human Cleric",W,"uds","1",rare,w,Not Owned,,false,,,"","",12791
"Arena Rector",4,"Creature - Human Cleric",W,"bbd","23",mythic,w,Not Owned,,false,,,"","",68774
"Felidar Guardian",4,"Creature - Cat Beast",W,"aer","19",uncommon,w,Not Owned,,false,,,"","",62593
"Hero of Bladehold",4,"Creature - Human Knight",W,"mbs","8",mythic,w,Owned,Non-foil,false,,,"","",39539
"Myrel, Shield of Argive",4,"Legendary Creature - Human Soldier",W,"bro","18",mythic,w,Not Owned,,false,,,"","",104654
"Restoration Angel",4,"Creature - Angel",W,"avr","32",rare,w,Not Owned,,false,,,"","",44009
"Seasoned Dungeoneer",4,"Creature - Human Warrior",W,"clb","660",rare,w,Not Owned,,false,,,"","",101416
"Serra Paragon",4,"Creature - Angel",W,"dmu","32",mythic,w,Owned,Non-foil,false,,,"","",102540
"Witch Enchanter",4,"Creature - Human Warlock",W,"mh3","239",uncommon,w,Not Owned,,false,,,"","",126503
"Elesh Norn, Mother of Machines",5,"Legendary Creature - Phyrexian Praetor",W,"one","10",mythic,w,Not Owned,,false,,,"","",106235
"Solitude",5,"Creature - Elemental Incarnation",W,"mh2","32",mythic,w,Not Owned,,false,,,"","",90433
"Triumph of Saint Katherine",5,"Creature - Human Warrior",W,"40k","17",rare,w,Not Owned,,false,,,"","",108506
"Sun Titan",6,"Creature - Giant",W,"ncc","210",mythic,w,Owned,Non-foil,false,,,"maybeout","",
