oracle_id,elo,mainboard,pickrate,picks,mainboards,name,mana_cost,type_line,oracle_text,set_name,rarity,colors,power,toughness,loyalty,flavor_text,artist,illustration_id
7f77a84e-5a4b-4834-aefa-3cecc175ae8e,1692,1.0,0.3095238095238095,26,8,"Jace, the Mind Sculptor",{2}{U}{U},Legendary Planeswalker — Jace,"+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library.
0: Draw three cards, then put two cards from your hand on top of your library in any order.
−1: Return target creature to its owner's hand.
−12: Exile all cards from target player's library, then that player shuffles their hand into their library.",Bloomburrow Commander,mythic,U,,,3,,TAPIOCA,f9a557cf-31d1-4da4-a68c-560ce8dfc54f
5def9f38-0a0b-4e8d-9f9d-29dcb46520b4,1508,1.0,0.1764705882352941,21,8,Esper Sentinel,{W},Artifact Creature — Human Soldier,"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays {X}, where X is Esper Sentinel's power.",Modern Horizons 2 Timeshifts,rare,W,1,1,,"The more Esper changes, the more he refuses to.",Eric Deschamps,8d3ca6cd-98d6-4b2c-88ff-f8532548de32
0bbcb563-09b3-499d-a9cc-3a6d7501dd81,1232,0.6666666666666666,0.0821256038647343,17,4,Collected Company,{3}{G},Instant,Look at the top six cards of your library. Put up to two creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in any order.,Special Guests,mythic,G,,,,"Survivors who stay together, slay together.",Borja Pindado,a00494b5-33b9-4dfa-8136-ccebf25ff544
176f5ba8-6e7b-4234-a298-b6164f51656f,1024,1.0,0.064516129032258,8,2,"Inti, Seneschal of the Sun",{1}{R},Legendary Creature — Human Knight,"Whenever you attack, you may discard a card. When you do, put a +1/+1 counter on target attacking creature. It gains trample until end of turn.
Whenever you discard one or more cards, exile the top card of your library. You may play that card until your next end step.",The Lost Caverns of Ixalan Promos,rare,R,2,2,,,Victor Adame Minguez,79c4425a-0331-4eaa-8606-e8ca0cf10521
c823e687-6311-4c99-974b-fd77d204141a,1652,1.0,0.2903225806451613,18,3,Timetwister,{2}{U},Sorcery,"Each player shuffles their hand and graveyard into their library, then draws seven cards. (Then put Timetwister into its owner's graveyard.)",30th Anniversary Edition,rare,U,,,,,Mark Tedin,b97433b5-625c-4fb5-b2b1-6bd5246da713
86bf58f2-7f25-4e10-b797-25e0e8e67769,1198,1.0,0.1214285714285714,17,5,Flusterstorm,{U},Instant,"Counter target instant or sorcery spell unless its controller pays {1}.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",Mystery Booster 2,rare,U,,,,,Erica Yang,6565f15d-208e-4533-9880-2c24623a809e
3123ec89-8e95-4761-ba17-747ec667509f,1682,1.0,0.2361111111111111,34,13,Spara's Headquarters,,Land — Forest Plains Island,"({T}: Add {G}, {W}, or {U}.)
Spara's Headquarters enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Magic Online Promos,rare,,,,,,Dominik Mayer,1f2ffdcb-9925-4c6a-85dc-b5b04ca11ec6
8c1fe337-375a-4add-93b6-0ac39ed72b4f,1570,0.9166666666666666,0.171875,22,11,Natural Order,{2}{G}{G},Sorcery,"As an additional cost to cast this spell, sacrifice a green creature.
Search your library for a green creature card, put it onto the battlefield, then shuffle.",Mystery Booster 2,mythic,G,,,,,Alan Rabinowitz,05ec22d4-a771-4afc-8de5-659073b41cb7
254878f0-be90-4653-a395-0c41258fceaf,1238,0.0,0.1527777777777778,11,0,Tinker,{2}{U},Sorcery,"As an additional cost to cast this spell, sacrifice an artifact.
Search your library for an artifact card, put that card onto the battlefield, then shuffle.",Mystery Booster 2,uncommon,U,,,,"""What separates us from mere beasts is the capacity for self-improvement.""",Chris Rahn,c34e1b73-ad74-4da3-ace8-37ee1922458d
7fffbe7f-ad78-4bb6-a611-c37e495c6ee0,896,1.0,0.0544217687074829,8,1,Kappa Cannoneer,{5}{U},Artifact Creature — Turtle Warrior,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Ward {4}
Whenever Kappa Cannoneer or another artifact you control enters, put a +1/+1 counter on Kappa Cannoneer and it can't be blocked this turn.",Magic Online Promos,rare,U,4,4,,,Jesper Ejsing,1a23264a-5bcb-4e41-9a45-de6d173d6e0f
