"card","elo","mainboard","pickrate","picks","mainboards"
"7f77a84e-5a4b-4834-aefa-3cecc175ae8e","1692","1","0.30952380952380953","26","8"
"5def9f38-0a0b-4e8d-9f9d-29dcb46520b4","1508","1","0.17647058823529413","21","8"
"0bbcb563-09b3-499d-a9cc-3a6d7501dd81","1232","0.6666666666666666","0.0821256038647343","17","4"
"176f5ba8-6e7b-4234-a298-b6164f51656f","1024","1","0.06451612903225806","8","2"
"c823e687-6311-4c99-974b-fd77d204141a","1652","1","0.2903225806451613","18","3"
"86bf58f2-7f25-4e10-b797-25e0e8e67769","1198","1","0.12142857142857143","17","5"
"3123ec89-8e95-4761-ba17-747ec667509f","1682","1","0.2361111111111111","34","13"
"8c1fe337-375a-4add-93b6-0ac39ed72b4f","1570","0.9166666666666666","0.171875","22","11"
"254878f0-be90-4653-a395-0c41258fceaf","1238","0","0.1527777777777778","11","0"
"7fffbe7f-ad78-4bb6-a611-c37e495c6ee0","896","1","0.05442176870748299","8","1"
"2b8afa9f-4236-4c02-a8d5-3c145caecfd6","892","0","0.058823529411764705","9","0"
"7cafc972-a6f5-4cac-a3d3-8a3ae36ffb1e","1454","0.5","0.11290322580645161","14","2"
"1ff25f67-36a7-4cfa-a2b1-2135b5b6fb67","1238","1","0.0392156862745098","6","3"
"7514e401-7aa1-405d-9f7a-312b4e630cc2","852","0","0.017094017094017096","2","0"
"09dd85aa-47bc-4713-a9b9-8b52ff2285ed","1558","0.75","0.12903225806451613","8","3"
"17039058-822d-409f-938c-b727a366ba63","1128","0","0.08888888888888889","8","0"
"74c0164c-130f-4572-9066-626c77f6e2ff","1284","0.5714285714285714","0.15636363636363637","43","8"
"e4d2dcbb-9910-482e-9e46-dfed2097509b","1260","1","0.07407407407407407","8","4"
"aa854d50-444c-49d9-bfb1-5476b33c1c0b","1258","0.8571428571428571","0.08536585365853659","14","6"
"c85d824b-c190-4d04-ab99-918ad0e6516c","1188","1","0.056338028169014086","8","3"
"a6abb6af-7ea2-43f3-8718-2a077ad0c947","1052","0.42857142857142855","0.07291666666666667","14","3"
"032b8a0d-491a-4a12-ab9f-689010054d5b","992","0","0.02857142857142857","2","0"
"9b7f1d05-707c-4ed3-9f0e-8ced1232c2ee","1316","1","0.10135135135135136","15","4"
"d3b2d8a2-d3bc-448c-9cf6-6bead6010c28","1434","0.6153846153846154","0.1773049645390071","50","8"
"7798a4d9-1c1d-48e6-b9a2-ecd6aec1efa7","1212","0","0.168","21","0"
"38515f89-348b-4cf3-b7bd-1f6fe4ce2fba","1060","1","0.0821917808219178","12","1"
"13ff3222-91cb-4796-a34e-899ed817694c","900","0.25","0.0423728813559322","5","1"
"d57a8f0b-7989-4db5-8756-6f2690097252","1204","1","0.064","8","3"
"6c1d22d4-f28e-4041-a9b6-1575e8929b61","1456","1","0.17266187050359713","24","4"
"3407fe41-fdd3-4119-8f70-4bc4590a379f","906","1","0.08387096774193549","13","3"
"975ec9a3-6f20-4177-8211-82526e092538","1162","1","0.05228758169934641","8","3"
"33869ba6-13e5-4e48-8963-92f7965648fb","1168","1","0.08333333333333333","15","4"
"1f438b8f-fe23-4f3b-ab2e-f6c33676c462","770","0","0.027972027972027972","4","0"
"ec3471ad-b65c-4e35-a7d1-68da9555a9ec","1222","0","0.047337278106508875","8","0"
"8ed57194-7508-4aef-9373-64f7e80612d8","1296","0","0.11009174311926606","12","0"
"d36e0c9f-c025-4dfe-9644-9cad2461ce38","674","1","0.0070921985815602835","1","1"
"73864fcc-1bde-4bc0-831e-2b93e546e417","772","0","0.04","7","0"
"f6314e50-a610-4fff-8f60-803d23460ff0","1056","0","0.07731958762886598","15","0"
